record,N,L,R,A,a,J,S,V,F,!,e,j,E,P,f,p,Q
100,2239,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0
101,1860,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
102,99,0,0,0,0,0,0,4,0,0,0,0,0,2028,56,0,0
103,2082,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
104,163,0,0,0,0,0,0,2,0,0,0,0,0,1380,666,0,18
105,2526,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,5
106,1507,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,59,0,0,0,0,0,2078,0,0,0
108,1739,0,0,4,0,0,0,17,2,0,0,1,0,0,0,11,0
109,0,2492,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0
111,0,2123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112,2537,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1789,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
114,1820,0,0,10,0,2,0,43,4,0,0,0,0,0,0,0,0
115,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2302,0,0,1,0,0,0,109,0,0,0,0,0,0,0,0,0
117,1534,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,2166,96,0,0,0,16,0,0,0,0,0,0,0,10,0
119,1543,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0
121,1861,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
122,2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1515,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
124,0,0,1531,2,0,29,0,47,5,0,0,5,0,0,0,0,0
200,1743,0,0,30,0,0,0,826,2,0,0,0,0,0,0,0,0
201,1625,0,0,30,97,1,0,198,2,0,0,10,0,0,0,37,0
202,2061,0,0,36,19,0,0,19,1,0,0,0,0,0,0,0,0
203,2529,0,0,0,2,0,0,444,1,0,0,0,0,0,0,0,4
205,2571,0,0,3,0,0,0,71,11,0,0,0,0,0,0,0,0
207,0,1457,86,107,0,0,0,105,0,472,0,0,105,0,0,0,0
208,1586,0,0,0,0,0,2,992,373,0,0,0,0,0,0,0,2
209,2621,0,0,383,0,0,0,1,0,0,0,0,0,0,0,0,0
210,2423,0,0,0,22,0,0,194,10,0,0,0,1,0,0,0,0
212,923,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2641,0,0,25,3,0,0,220,362,0,0,0,0,0,0,0,0
214,0,2003,0,0,0,0,0,256,1,0,0,0,0,0,0,0,2
215,3195,0,0,3,0,0,0,164,1,0,0,0,0,0,0,0,0
217,244,0,0,0,0,0,0,162,0,0,0,0,0,1542,260,0,0
219,2082,0,0,7,0,0,0,64,1,0,0,0,0,0,0,133,0
220,1954,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2031,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0
222,2062,0,0,208,0,1,0,0,0,0,0,212,0,0,0,0,0
223,2029,0,0,72,1,0,0,473,14,0,16,0,0,0,0,0,0
228,1688,0,0,3,0,0,0,362,0,0,0,0,0,0,0,0,0
230,2255,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
231,314,0,1254,1,0,0,0,2,0,0,0,0,0,0,0,2,0
232,0,0,397,1382,0,0,0,0,0,0,0,1,0,0,0,0,0
233,2230,0,0,7,0,0,0,831,11,0,0,0,0,0,0,0,0
234,2700,0,0,0,0,50,0,3,0,0,0,0,0,0,0,0,0
